name,lat,lon,population,postcode,wikidata,geoname_id,distance_km,elevation,role,country_code,wunderground_url,meteociel_url,lachainemeteo_url
Poussan,43.48806,3.66963,,34560,,,0.0,33.0,depart/arrivee,FR,https://www.wunderground.com/calendar/fr/poussan/LFMT,-,https://www.lachainemeteo.com/meteo-france/ville-215697/previsions-meteo-poussan-aujourdhui
Pézenas,43.4611777,3.4228323,7788.0,34120,,,33.8,21.0,meteo,FR,https://www.wunderground.com/calendar/fr/pezenas/LFMU,-,https://www.lachainemeteo.com/meteo-france/ville-215726/previsions-meteo-pezenas-aujourdhui
Valros,43.4200583,3.3664309,1645.0,34290,,,43.4,49.0,planning,FR,https://www.wunderground.com/calendar/fr/valros/LFMU,-,https://www.lachainemeteo.com/meteo-france/ville-285176/previsions-meteo-valros-aujourdhui
Villeneuve-lès-Béziers,43.3162817,3.2797511,4098.0,34420,,,70.5,5.0,planning,FR,https://www.wunderground.com/calendar/fr/villeneuve-les-beziers/LFMU,-,https://www.lachainemeteo.com/meteo-france/ville-216118/previsions-meteo-villeneuve-les-beziers-aujourdhui
Salles-d'Aude,43.2390042,3.1155056,3250.0,11110,Q204082,,98.2,6.0,planning,FR,https://www.wunderground.com/calendar/fr/salles-d-aude/LFMU,-,https://www.lachainemeteo.com/meteo-france/ville-308906/previsions-meteo-salles-d-aude-aujourdhui
Narbonne,43.1837757,3.0041906,56395.0,11100,Q6555,,113.3,67.0,etape,FR,https://www.wunderground.com/calendar/fr/narbonne/LFMU,-,https://www.lachainemeteo.com/meteo-france/ville-540449/previsions-meteo-narbonne-plage-aujourdhui
Peyriac-de-Mer,43.0878819,2.9579043,1167.0,11440,,,138.2,1.0,planning,FR,https://www.wunderground.com/calendar/fr/peyriac-de-mer/LFMP,-,https://www.lachainemeteo.com/meteo-france/ville-308851/previsions-meteo-peyriac-de-mer-aujourdhui
Sigean,43.029047,2.9808695,5583.0,11130,,,159.2,15.0,meteo,FR,https://www.wunderground.com/calendar/fr/sigean/LFMP,-,https://www.lachainemeteo.com/meteo-france/ville-141545/previsions-meteo-les-grazelles-aujourdhui
Salses-le-Château,42.8333802,2.9181798,3752.0,66600,Q821246,,198.4,7.0,planning,FR,https://www.wunderground.com/calendar/fr/salses-le-chateau/LFMP,-,https://www.lachainemeteo.com/meteo-france/ville-215366/previsions-meteo-salses-le-chateau-aujourdhui
Baixas,42.7498075,2.8091531,2727.0,66390,Q1093092,,216.3,82.0,planning,FR,https://www.wunderground.com/calendar/fr/baixas/LFMP,-,https://www.lachainemeteo.com/meteo-france/ville-215856/previsions-meteo-baixas-aujourdhui
