name,lat,lon,population,postcode,wikidata,geoname_id,distance_km,elevation,role,country_code,wunderground_url,meteociel_url,lachainemeteo_url
Melun,48.5281,2.65428,,77000,,,0.0,50.0,depart,FR,https://www.wunderground.com/calendar/fr/melun/LFPM,-,https://www.lachainemeteo.com/meteo-france/ville-12156/previsions-meteo-melun-aujourdhui
Chalette-sur-Loing,48.0144639,2.7320234,12728.0,45120,,,79.8,98.0,planning,FR,https://www.wunderground.com/calendar/fr/chalette-sur-loing/LFLA,-,https://www.lachainemeteo.com/meteo-france/ville-11785/previsions-meteo-chalette-sur-loing-aujourdhui
Montargis,47.9978628,2.7310072,15061.0,45200,Q212352,,82.7,86.0,meteo,FR,https://www.wunderground.com/calendar/fr/montargis/LFLA,-,https://www.lachainemeteo.com/meteo-france/ville-12033/previsions-meteo-montargis-aujourdhui
Rogny-les-Sept-Écluses,47.7421564,2.880949,685.0,89220,Q1166638,,122.2,144.0,planning,FR,https://www.wunderground.com/calendar/fr/rogny-les-sept-ecluses/LFLA,-,https://www.lachainemeteo.com/meteo-france/ville-327580/previsions-meteo-rogny-les-sept-ecluses-aujourdhui
Ouzouer-sur-Trézée,47.6718144,2.8079812,1124.0,45250,Q1470534,,135.2,147.0,planning,FR,https://www.wunderground.com/calendar/fr/ouzouer-sur-trezee/LFLA,-,https://www.lachainemeteo.com/meteo-france/ville-789983/previsions-meteo-ouzouer-sur-trezee-aujourdhui
Santranges,47.4981798,2.7726737,425.0,18240,,,161.3,130.0,etape,FR,https://www.wunderground.com/calendar/fr/santranges/LFOA,-,https://www.lachainemeteo.com/meteo-france/ville-525124/previsions-meteo-santranges-aujourdhui
Sainte-Gemme-en-Sancerrois,47.3946006,2.8162367,406.0,18240,,,174.6,249.0,planning,FR,https://www.wunderground.com/calendar/fr/sainte-gemme-en-sancerrois/LFOA,-,https://www.lachainemeteo.com/meteo-france/ville-527833/previsions-meteo-sainte-gemme-en-sancerrois-aujourdhui
La Charité-sur-Loire,47.1771359,3.0188106,4672.0,58400,,,216.0,177.0,meteo,FR,https://www.wunderground.com/calendar/fr/la-charite-sur-loire/LFQG,-,https://www.lachainemeteo.com/meteo-france/ville-214546/previsions-meteo-la-charite-sur-loire-aujourdhui
Champvoux,47.1559273,3.0817455,287.0,58400,,,223.0,223.0,planning,FR,https://www.wunderground.com/calendar/fr/champvoux/LFQG,-,https://www.lachainemeteo.com/meteo-france/ville-776987/previsions-meteo-champvoux-aujourdhui
Nevers,46.9876601,3.1577203,32830.0,58000,Q166997,,250.5,196.0,planning,FR,https://www.wunderground.com/calendar/fr/nevers/LFQG,-,https://www.lachainemeteo.com/meteo-france/ville-849817/previsions-meteo-challuy-aujourdhui
Neuville-lès-Decize,46.7696008,3.3152235,215.0,58300,,,287.4,246.0,planning,FR,https://www.wunderground.com/calendar/fr/neuville-les-decize/LFQG,-,https://www.lachainemeteo.com/meteo-france/ville-789553/previsions-meteo-neuville-les-decize-aujourdhui
Trévol,46.6298483,3.3058172,1636.0,03460,,,308.8,223.0,etape,FR,https://www.wunderground.com/calendar/fr/trevol/LFQG,-,https://www.lachainemeteo.com/meteo-france/ville-261275/previsions-meteo-trevol-aujourdhui
Moulins,46.5660526,3.3331703,19343.0,03000,Q184883,,320.4,212.0,planning,FR,https://www.wunderground.com/calendar/fr/moulins/LFLV,-,https://www.lachainemeteo.com/meteo-france/ville-262890/previsions-meteo-moulins-aujourdhui
Saint-Pourçain-sur-Sioule,46.3074423,3.2899107,4997.0,03500,,,360.0,249.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-pourcain-sur-sioule/LFLV,-,https://www.lachainemeteo.com/meteo-france/ville-261169/previsions-meteo-monetay-sur-allier-aujourdhui
Étroussat,46.2194213,3.2215633,664.0,03140,,,373.2,293.0,meteo,FR,https://www.wunderground.com/calendar/fr/etroussat/LFLV,-,https://www.lachainemeteo.com/meteo-france/ville-261093/previsions-meteo-etroussat-aujourdhui
Saint-Hilaire-la-Croix,46.0464674,3.0463657,368.0,63440,Q775057,,402.7,556.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-hilaire-la-croix/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-759048/previsions-meteo-saint-hilaire-la-croix-aujourdhui
Charbonnières-les-Vieilles,45.9955609,2.9992181,1153.0,63410,Q1097514,,412.6,651.0,planning,FR,https://www.wunderground.com/calendar/fr/charbonnieres-les-vieilles/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-759031/previsions-meteo-charbonnieres-les-vieilles-aujourdhui
Clermont-Ferrand,45.7774551,3.0819427,147327.0,63000,Q42168,,461.0,396.0,etape,FR,https://www.wunderground.com/calendar/fr/clermont-ferrand/LFLC,-,https://www.lachainemeteo.com/meteo-france/village-2077507/previsions-meteo-cotes-de-clermont-aujourdhui
Dallet,45.7713888,3.2394444,1398.0,63111,,,479.4,316.0,planning,FR,https://www.wunderground.com/calendar/fr/dallet/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-560482/previsions-meteo-dallet-aujourdhui
Coudes,45.6147969,3.2083306,1257.0,63114,Q1048470,,504.7,353.0,planning,FR,https://www.wunderground.com/calendar/fr/coudes/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-543998/previsions-meteo-coudes-aujourdhui
Issoire,45.5432962,3.2501874,15014.0,63500,Q133824,,520.2,389.0,planning,FR,https://www.wunderground.com/calendar/fr/issoire/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-12043/previsions-meteo-issoire-aujourdhui
Lempdes-sur-Allagnon,45.3853961,3.2691547,1307.0,43410,,,545.5,434.0,meteo,FR,https://www.wunderground.com/calendar/fr/lempdes-sur-allagnon/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-779991/previsions-meteo-lempdes-sur-allagnon-aujourdhui
Molompize,45.2308671,3.1270913,275.0,15500,,,578.9,590.0,planning,FR,https://www.wunderground.com/calendar/fr/molompize/LFLC,-,https://www.lachainemeteo.com/meteo-france/ville-582838/previsions-meteo-molompize-aujourdhui
Allanche,45.2286939,2.9352539,794.0,15160,Q645566,,595.3,1040.0,planning,FR,https://www.wunderground.com/calendar/fr/allanche/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-582882/previsions-meteo-vernols-aujourdhui
Farges,45.1351514,2.910483,0.0,15300,,,612.7,488.0,etape,FR,https://www.wunderground.com/calendar/fr/farges/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-245917/previsions-meteo-farges-aujourdhui
Albepierre,45.0762907,2.8334578,237.0,15300,Q274165,,630.1,1050.0,meteo,FR,https://www.wunderground.com/calendar/fr/albepierre/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-582815/previsions-meteo-valuejols-aujourdhui
Saint-Flour,45.0334949,3.0931009,6423.0,15100,Q210763,,660.3,883.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-flour/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-582794/previsions-meteo-anglards-de-saint-flour-aujourdhui
Clavières d'Outre,44.9272322,3.2227603,0.0,15320,,,687.5,943.0,planning,FR,https://www.wunderground.com/calendar/fr/clavieres-d-outre/LFNB,-,https://www.lachainemeteo.com/meteo-france/village-831030/previsions-meteo-clavieres-d-outre-aujourdhui
Saint-Chély-d'Apcher,44.8011363,3.2757824,4096.0,48200,Q720522,,705.5,996.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-chely-d-apcher/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-216508/previsions-meteo-saint-chely-d-apcher-aujourdhui
Fontans,44.7395,3.38701,235.0,48700,,,722.5,800.0,etape,FR,https://www.wunderground.com/calendar/fr/fontans/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-343227/previsions-meteo-fontans-aujourdhui
